2020-05-21,31291,E23053330,#2 NOZZLE,BE5-B277,DD,"QUARANTINE, REQUIRES KEY REPLACEMENT",WPG MRO
2020-05-21,61293,E23055438,#2 NOZZLE,MG12-354,DD,"QUARANTINE, REQUIRES KEY REPLACEMENT",WPG MRO
2020-05-21,62718,E23055438,#2 NOZZLE,MG12-C5377,DD,"QUARANTINE, REQUIRES KEY REPLACEMENT",WPG MRO
2020-05-21,109998,23071309,PT INNER SHAFT,KU101934,DD,"QUARANTINE, BEARING JOURNAL BELOW LIMIT",WPG MRO
2020-05-22,109319,6890530,FRONT SUPPORT,38544,DD,"QUARANTINE, FAILED PRESS. TEST,LEAKING",WPG MRO
2020-05-22,109958,6898784,2ND SPLINED ADAPTER,88631,DD,"QUARANTINE, OVER MAX. LIMIT",WPG MRO
2020-05-26,108820,3104720-01,Accessory Drive Spur Gearshaft,2008-07-08,BEO,,WPG MRO
2020-05-26,109734,6854701-43,Prop Brake Outer Member,SJ2539E,BEO,,WPG MRO
2020-05-26,109786,23088840,PT Support,DW41310,BEO,,WPG MRO
2020-05-27,109927,6886407,1ST STG WHEEL,X113781,DD,"QUARANTINE, MULTIPLE CRACKS, NCR#8700",WPG MRO
2020-06-08,135,23030991,COVER SEPERATOR,NA,DD,"QUARANTIME, REMOVED FROM ENGINE, BER",WPG MRO
2020-06-08,135,23030991,COVER SEPERATOR,NA,DD,"QUARANTIME, REMOVED FROM ENGINE, BER",WPG MRO
2020-06-08,135,23030991,COVER SEPERATOR,NA,DD,"QUARANTIME, REMOVED FROM ENGINE, BER",WPG MRO
2020-06-08,135,23030991,COVER SEPERATOR,NA,DD,"QUARANTIME, REMOVED FROM ENGINE, BER",WPG MRO
2020-06-08,135,23030991,COVER SEPERATOR,NA,DD,"QUARANTIME, REMOVED FROM ENGINE, BER",WPG MRO
2020-06-08,135,23030991,COVER SEPERATOR,NA,DD,"QUARANTIME, REMOVED FROM ENGINE, BER",WPG MRO
2020-06-08,135,23030991,COVER SEPERATOR,NA,DD,"QUARANTIME, REMOVED FROM ENGINE, BER",WPG MRO
2020-06-08,135,23030991,COVER SEPERATOR,NA,DD,"QUARANTIME, REMOVED FROM ENGINE, BER",WPG MRO
2020-06-08,110042,23030991,OIL PUMP COVER,340680,DD,UNSERVICEABLE,WPG MRO
2020-06-08,110043,23030991,OIL PUMP COVER,A6-2566,DD,UNSERVICEABLE,WPG MRO
2020-06-08,110044,23030991,OIL PUMP COVER,30491,DD,UNSEVICEABLE,WPG MRO
2020-06-08,110131,23031461,SCAVENGER BODY,NA,DD,"QUARATINE, UNSERVICEABLE",WPG MRO
